Year,Quarter,DOMESTIC_x,DOMESTIC_y,DOMESTIC_x,DOMESTIC_y,Airline
2003,Q1,19089527,168247,2798109,-370524,Delta
2003,Q2,19295435,157387,2907618,127450,Delta
2003,Q3,19912240,164531,2938370,-203635,Delta
2003,Q4,19374566,166263,2976831,-324439,Delta
2004,Q1,18695744,167676,2940540,-355460,Delta
2004,Q2,20680735,172546,3165536,-1632097,Delta
2004,Q3,20048388,169263,3061748,-584823,Delta
2004,Q4,19839465,170099,2962475,-311306,Delta
2005,Q1,19670382,168357,2957224,-897697,Delta
2005,Q2,20823781,171108,3312988,-376771,Delta
2005,Q3,19954424,161377,3265788,-913559,Delta
2005,Q4,17022831,142386,3136723,-921343,Delta
2006,Q1,15995188,129039,2990524,-1550844,Delta
2006,Q2,16128548,125737,3542805,-1497819,Delta
2006,Q3,15850863,124364,3419618,97246,Delta
2006,Q4,15417618,121764,3162509,-1272938,Delta
2007,Q1,14569704,114338,3148995,53423,Delta
2007,Q2,15958681,117339,3600449,1360046,Delta
2007,Q3,16099374,121464,3613774,199242,Delta
2007,Q4,14866449,119151,3356053,1910,Delta
2008,Q1,14292986,112538,3415460,-4458674,Delta
2008,Q2,15036068,111024,3662838,-601748,Delta
2008,Q3,15282149,112704,3552520,32646,Delta
2008,Q4,14665120,111937,3245613,-452519,Delta
2009,Q1,13095959,104093,2975113,-167918,Delta
2009,Q2,14249292,105805,3081085,-22805,Delta
2009,Q3,14685874,108871,3059195,67250,Delta
2009,Q4,13595882,106745,2956775,74226,Delta
2010,Q1,19863748,165843,4642172,-14584,Delta
2010,Q2,23480271,183520,5411121,473729,Delta
2010,Q3,24185540,190916,5510909,358895,Delta
2010,Q4,22422129,181238,5014722,222612,Delta
2011,Q1,20583542,170422,5124733,122398,Delta
2011,Q2,24395692,186779,5960970,554398,Delta
2011,Q3,25042992,191002,6003561,582660,Delta
2011,Q4,22688726,176767,5554952,525093,Delta
2012,Q1,21234252,167748,5595586,393522,Delta
2012,Q2,24884323,184059,6372974,378979,Delta
2012,Q3,25740963,193661,6116001,285919,Delta
2012,Q4,23579333,180245,5760749,-187761,Delta
2013,Q1,22190999,173148,5669954,-141743,Delta
2013,Q2,25606843,192827,6351146,403516,Delta
2013,Q3,26328493,201094,6566795,650001,Delta
2013,Q4,24245987,187804,6132965,5725232,Delta
2014,Q1,23182004,175111,6027647,154566,Delta
2014,Q2,27929803,203931,7052763,504876,Delta
2014,Q3,28572542,212899,7071849,128045,Delta
2014,Q4,26535757,204512,6620861,-225093,Delta
2015,Q1,25290898,197171,6468745,592926,Delta
2015,Q2,30003391,224524,7314080,963639,Delta
2015,Q3,30821572,234363,7267623,782359,Delta
2015,Q4,28788149,218848,6744609,778957,Delta
2016,Q1,27011288,214890,6720368,727934,Delta
2016,Q2,31390413,239091,7385194,1050593,Delta
2016,Q3,30979547,242426,7137041,730844,Delta
2016,Q4,29616299,224435,6963690,469594,Delta
2017,Q1,27359489,213322,6701934,436046,Delta
2017,Q2,31467206,236232,7722294,889627,Delta
2017,Q3,32036001,242733,7655984,715427,Delta
2017,Q4,29872185,224944,7612604,425920,Delta
2018,Q1,28041254,217004,7162960,325483,Delta
2018,Q2,32934845,244649,8342159,547392,Delta
2018,Q3,33879859,253015,8240538,620420,Delta
2018,Q4,31616854,233714,7865436,648210,Delta
2019,Q1,29854557,225549,7691968,422508,Delta
2019,Q2,35785776,255393,8986257,872896,Delta
2019,Q3,36623022,263807,8835530,876781,Delta
2019,Q4,33950238,248273,8529069,737340,Delta
2020,Q1,25699585,222752,6383908,-528143,Delta
2020,Q2,2834767,57986,1207881,-4572596,Delta
2020,Q3,8929059,128708,2599495,-4526428,Delta
2020,Q4,10794467,144191,3273305,-760786,Delta
2021,Q1,12091287,146954,3448374,-941392,Delta
2021,Q2,22873918,182521,5994807,553964,Delta
2021,Q3,28960718,208395,7412240,861472,Delta
2021,Q4,28471467,208080,7787147,-333521,Delta
2022,Q1,26563616,203966,7684218,-671980,Delta
2022,Q2,32072006,220896,10801183,673278,Delta
2022,Q3,32133864,230641,10214777,460733,Delta
2022,Q4,31449413,225337,10277706,775461,Delta
2023,Q1,30232866,224580,9553721,-185853,Delta
2023,Q2,35566272,247763,10888168,1153288,Delta
