,Year,Quarter,income,flights,passengers,revenue,airline
0,2003,Q1,-1085012,2272705,134191930,20692159,American
1,2003,Q2,606461,2354008,148395128,22066941,American
2,2003,Q3,-642496,2444160,153945154,23166224,American
3,2003,Q4,-348536,2382542,146761550,22944772,American
4,2004,Q1,-1622122,2383331,143269305,23886067,American
5,2004,Q2,-2018851,2488165,163243209,25861558,American
6,2004,Q3,-1702368,2573322,164666945,25701945,American
7,2004,Q4,-4562813,2517571,158589027,25452940,American
8,2005,Q1,-2956735,2434886,153891514,25688272,American
9,2005,Q2,-1511275,2574505,171956796,28418255,American
10,2005,Q3,-2231293,2592957,172107404,29046508,American
11,2005,Q4,-13048233,2430792,159305773,28705027,American
12,2006,Q1,12049285,2325000,154520196,28396127,American
13,2006,Q2,-642693,2438751,172270869,31743405,American
14,2006,Q3,-592826,2518442,169091390,31076705,American
15,2006,Q4,-1770107,2425799,162480162,29690689,American
16,2007,Q1,-488478,2358954,157032821,28814565,American
17,2007,Q2,3403274,2485900,178173859,32017353,American
18,2007,Q3,626687,2541073,178423085,32291692,American
19,2007,Q4,-545608,2449795,165538993,31379368,American
20,2008,Q1,-9777777,2357465,159576540,31408302,American
21,2008,Q2,-2254820,2435692,173217624,34244714,American
22,2008,Q3,-2633833,2396631,168047954,34060087,American
23,2008,Q4,-3507540,2185846,150867822,30015228,American
24,2009,Q1,-1516128,2117195,142030431,26183386,American
25,2009,Q2,-344471,2237976,161092010,27369441,American
26,2009,Q3,-144230,2285102,164272162,28216303,American
27,2009,Q4,-247244,2126162,150657675,27911887,American
28,2010,Q1,-704121,2057745,142366311,27244170,American
29,2010,Q2,657279,2215466,163030349,30624878,American
30,2010,Q3,1178343,2282505,166817949,31131870,American
31,2010,Q4,44633,2144177,157322815,30072585,American
32,2011,Q1,-455423,2061351,145612167,30534144,American
33,2011,Q2,1152067,2220526,166619412,34663890,American
34,2011,Q3,761688,2258154,168696300,34676558,American
35,2011,Q4,-17775,2107230,157319353,32947504,American
36,2012,Q1,-213497,2053367,149685636,32520037,American
37,2012,Q2,1513613,2167790,167344097,35763241,American
38,2012,Q3,564041,2188915,168469075,34263076,American
39,2012,Q4,348019,2034765,156789579,33283857,American
40,2013,Q1,227114,1979715,150121555,32682301,American
41,2013,Q2,2147207,2134645,167782293,35527896,American
42,2013,Q3,2384395,2181922,168191981,35990506,American
43,2013,Q4,5763127,2026478,159581445,34944094,American
44,2014,Q1,926580,1898379,151232493,33558448,American
45,2014,Q2,3467788,2074184,172397974,38071207,American
46,2014,Q3,2828108,2124911,174045365,37924357,American
47,2014,Q4,1422907,2009080,165148717,36317906,American
48,2015,Q1,3055504,1888598,156449349,34400448,American
49,2015,Q2,4678728,2057277,179760694,37988917,American
50,2015,Q3,6494263,2115143,183887812,38170710,American
51,2015,Q4,6983407,1998671,175912913,36372331,American
52,2016,Q1,2856167,1946767,165177851,34766496,American
53,2016,Q2,4229096,2092211,186403019,38683010,American
54,2016,Q3,3407438,2136203,188252549,39267618,American
55,2016,Q4,2861738,2008663,180155941,38390204,American
56,2017,Q1,2647152,1934200,169149528,36984571,American
57,2017,Q2,5046701,2098944,192287211,41730343,American
58,2017,Q3,3575301,2126777,192381566,40500338,American
59,2017,Q4,5752299,2016126,187909672,41323753,American
60,2018,Q1,3150849,1952300,176551075,39417877,American
61,2018,Q2,3746860,2151663,202678768,44253860,American
62,2018,Q3,3473163,2202646,203345831,43798660,American
63,2018,Q4,3738630,2091795,195387206,44215557,American
64,2019,Q1,2732085,2004569,183946193,41375991,American
65,2019,Q2,4891390,2190932,211091588,46580348,American
66,2019,Q3,4344519,2243391,211976158,45748634,American
67,2019,Q4,3737977,2155977,204457828,45636832,American
68,2020,Q1,-3227325,1976973,155904656,35959580,American
69,2020,Q2,-8067065,699345,26870755,13825409,American
70,2020,Q3,-8799633,1232347,71207493,19785396,American
71,2020,Q4,-4506732,1260006,81583991,23703643,American
72,2021,Q1,-1350602,1269853,88131444,23218504,American
73,2021,Q2,2810436,1697791,156659581,35279846,American
74,2021,Q3,3640074,1936721,181273240,41307242,American
75,2021,Q4,-462609,1854021,179859952,43920124,American
76,2022,Q1,-2329871,1732650,159507147,41235968,American
77,2022,Q2,3785474,1900377,197848793,55311548,American
78,2022,Q3,2285211,1946818,199081647,53183582,American
79,2022,Q4,2307189,1839792,194086672,53582337,American
80,2023,Q1,-645141,1828405,184710766,49565822,American
81,2023,Q2,4648323,1958858,211442744,55293878,American
